id,user_id,username,action,target_type,target_id,details,ip_address,created_at
1,1,admin,login,,,,127.0.0.1,2026-06-02 07:23:48
2,1,admin,skip_password_change,,,,127.0.0.1,2026-06-02 07:32:56
3,1,admin,logout,,,,127.0.0.1,2026-06-02 07:33:02
4,1,admin,login,,,,127.0.0.1,2026-06-02 07:33:08
5,1,admin,logout,,,,127.0.0.1,2026-06-02 07:33:23
6,1,admin,login,,,,127.0.0.1,2026-06-02 07:40:00
7,1,admin,change_password,,,,127.0.0.1,2026-06-02 07:40:54
8,1,admin,logout,,,,127.0.0.1,2026-06-02 07:41:01
9,1,admin,login,,,,127.0.0.1,2026-06-02 07:41:05
10,1,admin,logout,,,,127.0.0.1,2026-06-02 07:41:16
11,1,admin,login,,,,127.0.0.1,2026-06-02 07:42:05
12,1,admin,skip_password_change,,,,127.0.0.1,2026-06-02 07:42:31
13,1,admin,logout,,,,127.0.0.1,2026-06-02 07:43:31
14,1,admin,login,,,,127.0.0.1,2026-06-02 07:43:44
15,1,admin,change_password,,,,127.0.0.1,2026-06-02 07:44:10
16,1,admin,logout,,,,127.0.0.1,2026-06-02 07:44:24
17,1,admin,login,,,,127.0.0.1,2026-06-02 07:44:29
18,1,admin,create_user,user,2,Created user: dwiky,127.0.0.1,2026-06-02 07:56:51
19,1,admin,delete_user,user,2,Deleted user: dwiky,127.0.0.1,2026-06-02 07:59:58
20,1,admin,delete_user,user,2,Deleted user: unknown,127.0.0.1,2026-06-02 08:00:02
21,1,admin,logout,,,,127.0.0.1,2026-06-02 08:00:22
22,1,admin,login,,,,127.0.0.1,2026-06-02 08:00:38
23,1,admin,toggle_user_status,user,2,,127.0.0.1,2026-06-02 08:00:50
24,1,admin,logout,,,,127.0.0.1,2026-06-02 08:01:29
25,2,dwiky,login,,,,127.0.0.1,2026-06-02 08:01:37
26,2,dwiky,change_password,,,,127.0.0.1,2026-06-02 08:01:52
27,2,dwiky,logout,,,,127.0.0.1,2026-06-02 08:02:18
28,1,admin,login,,,,127.0.0.1,2026-06-02 08:02:24
29,1,admin,logout,,,,127.0.0.1,2026-06-02 08:33:12
30,2,dwiky,login,,,,127.0.0.1,2026-06-02 08:33:22
31,2,dwiky,logout,,,,127.0.0.1,2026-06-02 08:33:27
32,1,admin,login,,,,127.0.0.1,2026-06-02 08:33:34
33,1,admin,toggle_user_status,user,2,,127.0.0.1,2026-06-02 08:33:39
34,1,admin,toggle_user_status,user,2,,127.0.0.1,2026-06-02 08:33:40
35,1,admin,create_user,user,3,Created user: elang,127.0.0.1,2026-06-02 08:33:54
36,1,admin,logout,,,,127.0.0.1,2026-06-02 08:33:59
37,3,elang,login,,,,127.0.0.1,2026-06-02 08:34:03
